"name","latitude","longitude"
"Немережеві книгарні",49.427222,26.979722
"Немережеві книгарні",46.48,30.733333
"Немережеві книгарні",48.509444,32.266944
"Немережеві книгарні",46.194167,30.347778
"Немережеві книгарні",50.947778,28.641111
"Немережеві книгарні",48.995833,29.810278
"Немережеві книгарні",48.624167,22.2975
"Немережеві книгарні",49.426944,32.049444
"Немережеві книгарні",50.489722,30.495556
"Немережеві книгарні",49.444722,32.065
"Немережеві книгарні",50.428333,30.597778
"Немережеві книгарні",50.438611,30.618889
"Немережеві книгарні",50.723889,24.159444
"Немережеві книгарні",48.677778,26.586944
"Немережеві книгарні",50.754444,25.344722
"Немережеві книгарні",49.352778,23.509444
"Немережеві книгарні",48.919167,24.712222
"Немережеві книгарні",50.508333,30.2275
"Немережеві книгарні",48.286389,25.939167
"Немережеві книгарні",48.511667,34.61
"Немережеві книгарні",46.393056,30.723333
"Немережеві книгарні",50.913056,34.796111
"Немережеві книгарні",50.329444,26.516111
"Немережеві книгарні",48.465833,35.041111
"Немережеві книгарні",50.580556,30.490278
"Немережеві книгарні",49.990556,36.230833
"Немережеві книгарні",50.254722,28.662778
"Немережеві книгарні",49.231944,28.447778
"Немережеві книгарні",50.441389,30.545556
"Немережеві книгарні",50.462222,30.517778
"Немережеві книгарні",50.446667,30.518889
"Немережеві книгарні",49.228333,28.420833
"Немережеві книгарні",50.544722,30.1925
"Немережеві книгарні",49.561944,25.608889
"Немережеві книгарні",48.923889,24.709444
"Немережеві книгарні",49.423333,26.980278
"Немережеві книгарні",50.450556,30.528333
"Немережеві книгарні",50.4475,30.498056
"Немережеві книгарні",48.465556,35.0425
"Немережеві книгарні",49.836667,24.031111
"Немережеві книгарні",48.292778,25.935833
"Немережеві книгарні",48.524444,25.038611
"Немережеві книгарні",51.044444,31.894444
"Немережеві книгарні",46.481944,30.743889
"Немережеві книгарні",46.851389,30.072778
"Немережеві книгарні",49.796667,24.054167
"Немережеві книгарні",49.814444,24.019444
"Немережеві книгарні",49.810278,23.9975
"Немережеві книгарні",49.853333,24.028333
"Немережеві книгарні",49.870833,24.0325
"Немережеві книгарні",49.870833,24.055278
"Немережеві книгарні",49.809722,24.000278
"Немережеві книгарні",49.807222,23.999167
"Немережеві книгарні",49.839444,24.037778
"Немережеві книгарні",49.823333,23.9775
"Немережеві книгарні",49.841667,23.970278
"Немережеві книгарні",49.441667,32.068889
"Немережеві книгарні",49.555,25.590556
"Немережеві книгарні",50.467778,30.520833
"Немережеві книгарні",49.55,25.586389
"Немережеві книгарні",49.584722,34.541667
"Немережеві книгарні",50.616667,26.273056
"Немережеві книгарні",49.423611,26.981944
"Немережеві книгарні",50.911111,34.820556
"Немережеві книгарні",49.841944,24.032778
"Немережеві книгарні",49.299167,25.691667
"Немережеві книгарні",50.450556,30.525833
"Немережеві книгарні",49.063056,33.405278
"Немережеві книгарні",50.747222,25.326389
"Немережеві книгарні",48.923889,24.71
"Немережеві книгарні",49.843056,24.018611
"Немережеві книгарні",51.863889,33.48
"Немережеві книгарні",48.525278,25.040556
"Немережеві книгарні",50.256667,28.662778
"Немережеві книгарні",46.972222,31.988889
"Немережеві книгарні",49.443611,32.056389
"Немережеві книгарні",50.461389,30.519167
